p cnf 3000 10000
2356 242 1856 0
1766 324 950 0
-1875 342 58 0
343 2935 -1361 0
-2153 1623 -58 0
2424 -2121 2906 0
32 352 1784 0
-1420 -1034 835 0
-1710 -1911 1986 0
1057 1585 -1959 0
-2416 413 -2616 0
1391 2930 1145 0
532 -408 2829 0
-1115 -2401 420 0
1687 -2236 -2972 0
1124 -523 -2297 0
737 46 2953 0
129 -728 -2668 0
2307 1314 -2772 0
2956 -2074 1002 0
1389 494 2854 0
2489 -1678 -2208 0
-2696 1044 631 0
2203 -497 2413 0
1868 2173 496 0
1183 738 -2877 0
-2242 1520 885 0
636 -672 1834 0
1175 -2095 202 0
1477 1917 2077 0
-2851 -2725 887 0
1236 266 318 0
1045 -534 1335 0
408 -2808 508 0
1079 2566 -1742 0
75 -1471 2961 0
-422 2297 -546 0
-2607 147 -2649 0
-2552 1237 8 0
1480 -174 1167 0
1573 986 1325 0
1243 2774 2748 0
517 1249 -168 0
-161 1032 1944 0
-2927 1724 -2820 0
1086 -1900 -1994 0
-2294 2339 1886 0
1735 414 1340 0
-1662 -784 2393 0
2410 1322 693 0
-2221 576 2652 0
1998 92 -1057 0
2851 891 -1106 0
1958 187 -1608 0
1912 2234 808 0
-384 1649 -1276 0
-1139 -136 1526 0
1421 -1401 326 0
-1796 -1572 350 0
1156 -2636 203 0
184 2784 309 0
-1029 2411 1209 0
-1851 -2002 2424 0
2229 -533 -1229 0
1079 -705 -35 0
-1831 1858 658 0
-500 -1795 1065 0
-130 2530 -1737 0
461 1631 -1620 0
-1638 1769 1655 0
1463 807 1805 0
1971 402 2645 0
2850 -1395 1691 0
-2537 1883 -1459 0
778 -882 309 0
2417 2741 2353 0
1922 -2347 -2763 0
1532 456 715 0
857 2052 2117 0
-1681 -432 1375 0
-14 2847 923 0
-90 2190 -1473 0
-2727 1636 2291 0
2201 -2110 1657 0
-1258 -1507 579 0
-1137 143 -806 0
2256 540 2050 0
2996 -2362 -2678 0
847 -462 1350 0
-2204 1320 -2993 0
-2013 2511 -1666 0
2711 2469 1078 0
-2987 -1306 841 0
-2257 -2761 1424 0
-527 15 -861 0
1307 1401 816 0
14 179 900 0
655 1234 2397 0
2079 -2719 -1748 0
1117 1988 450 0
-1213 473 2316 0
-624 -1835 2765 0
1465 1729 467 0
-2643 -2800 2193 0
1971 519 736 0
1792 1912 -2953 0
-2430 243 963 0
-1923 501 1513 0
708 2950 -873 0
2065 1176 1387 0
1060 -1611 -1451 0
1557 896 21 0
2933 -898 -645 0
1627 -705 2503 0
2262 764 -1056 0
245 2284 454 0
604 1656 992 0
-1735 -163 382 0
1465 -2228 1500 0
68 -1571 2313 0
1562 -651 -2351 0
-2702 -2678 1686 0
-1290 2026 -2821 0
2939 -2726 -2284 0
824 174 169 0
-2204 2473 -1604 0
-2582 -2454 2724 0
2858 733 552 0
-570 1502 -2608 0
2648 -2718 -704 0
1653 -626 682 0
50 -247 488 0
-646 -999 2805 0
2001 -2581 -774 0
1717 1409 2314 0
-1864 -2701 2620 0
294 -2814 1450 0
-1610 -410 2264 0
213 1208 2320 0
-13 1007 2292 0
1081 1897 -1658 0
1814 -2278 2820 0
180 184 -2721 0
2980 1375 2753 0
459 -1060 -1539 0
114 832 1086 0
-2187 -706 144 0
-2323 2017 431 0
2688 1788 -19 0
1581 1023 1868 0
1651 557 939 0
1312 2851 1057 0
435 777 167 0
-311 2758 -2899 0
-2796 -419 696 0
2208 -732 740 0
-2006 -2527 2585 0
2787 1635 -1419 0
1524 1651 -1872 0
2868 71 2823 0
-1336 1255 -2629 0
-391 2758 2522 0
-832 1564 -333 0
-698 1123 -1066 0
1969 -1913 742 0
787 -205 206 0
1688 978 1722 0
2388 1347 1215 0
1766 -1 1067 0
2647 1815 2737 0
-2551 2990 -2410 0
1407 -2053 1912 0
1253 -2491 272 0
-2331 654 -815 0
126 1053 2076 0
95 -1556 -2251 0
1303 111 2607 0
-410 -2754 887 0
945 1409 1535 0
2304 2044 2552 0
2842 2696 1897 0
-2919 1410 -2674 0
-1449 1186 2361 0
230 -1477 -1540 0
1811 -1308 -526 0
-467 36 -1518 0
-925 905 -2468 0
-1068 2080 -1175 0
-920 1061 590 0
1990 2081 2726 0
-2651 442 -1441 0
-1195 1897 -1100 0
2776 -674 -183 0
1958 1016 1093 0
-1400 2060 -1579 0
1760 1824 18 0
-1111 -656 132 0
910 104 -103 0
688 494 778 0
2476 1842 -1773 0
1765 2245 729 0
435 2142 954 0
-468 1010 1587 0
-2748 2745 -2592 0
681 -1860 1966 0
428 -2310 -2160 0
1424 653 -883 0
-1596 60 -1308 0
1860 476 -2559 0
2057 1467 1304 0
1198 -2592 -437 0
28 1039 1382 0
2559 -294 -541 0
664 2031 1982 0
1126 2235 -2247 0
2846 2154 1339 0
-1290 426 -37 0
1590 1271 2799 0
1856 1625 1916 0
1115 593 2433 0
1731 2076 -1762 0
-1692 -1534 2169 0
2957 -522 2363 0
436 2944 -235 0
2706 -438 2734 0
477 1056 85 0
2547 1476 65 0
-597 -1251 2933 0
-1572 915 -752 0
-235 415 -2221 0
2142 -1681 270 0
-1260 -176 1930 0
-2067 1935 2188 0
-1788 -377 2289 0
2708 -252 2660 0
1810 -2227 -1665 0
-2457 -1256 391 0
1677 1623 2039 0
-1755 933 1062 0
1239 2377 2932 0
-1311 -1837 517 0
-726 -620 1399 0
664 2032 -1268 0
2788 2468 2533 0
-968 -325 880 0
991 -1757 785 0
-2431 1553 -1520 0
-2823 344 2166 0
291 -2357 -166 0
1240 -1319 2828 0
1561 1204 1629 0
-828 -2519 1211 0
1285 1948 2925 0
1637 1164 2522 0
-848 417 -2324 0
134 2723 833 0
-237 2508 1373 0
-2275 -1887 1541 0
841 1366 2772 0
-1218 31 2011 0
1776 514 1683 0
-2045 1060 2873 0
1664 -1593 424 0
-2258 -1967 1374 0
2390 1904 1852 0
113 1300 234 0
2652 1756 762 0
788 582 854 0
1469 2120 398 0
-2779 74 -1524 0
1635 2904 1695 0
1790 1924 -1198 0
-2691 501 1402 0
-2457 805 2512 0
-1527 1781 -1410 0
-2267 -1819 1148 0
-1601 2165 -2107 0
1930 -2450 493 0
679 2421 952 0
-3 857 -2126 0
-651 -1667 2800 0
1660 -940 1671 0
1702 26 2859 0
-2017 -2689 1980 0
-190 1822 1017 0
1127 1248 482 0
-2217 2990 -1959 0
2949 1722 -97 0
963 947 1445 0
-503 2445 489 0
1284 247 1127 0
2338 -1232 2005 0
-500 351 62 0
-1458 1049 1098 0
926 2761 382 0
-1744 401 -2620 0
1030 2233 2389 0
-2181 -1892 882 0
-2200 -561 1117 0
-2804 -1253 1865 0
1415 904 536 0
2783 31 2032 0
1312 2335 1573 0
-827 2514 906 0
1173 2055 658 0
-1454 -558 897 0
2091 935 -787 0
144 -845 1073 0
356 1278 2548 0
-517 1268 2001 0
2827 2729 2406 0
1177 2212 2611 0
-647 -139 453 0
2152 -1437 955 0
-2708 1176 -1207 0
-419 2031 1305 0
1936 1667 -1312 0
24 1591 645 0
2584 2957 636 0
461 1892 -151 0
-90 1563 821 0
2497 348 855 0
147 -2430 -162 0
685 -2679 -774 0
1081 1646 2711 0
-1055 2340 -1216 0
98 803 2904 0
-2806 -977 1219 0
570 2665 -2598 0
1141 282 916 0
93 2699 1233 0
733 626 -551 0
350 960 1467 0
-248 -2009 546 0
-2108 2710 -1203 0
-1874 2978 -336 0
32 2844 1002 0
-2321 842 2250 0
1633 350 2826 0
1266 2102 853 0
-2884 2426 -2207 0
1288 709 288 0
2506 2670 1106 0
-894 -2436 2900 0
1859 2485 94 0
2698 151 924 0
830 63 1858 0
2414 1756 430 0
-2578 -2745 669 0
-1082 -478 435 0
2683 2474 -1023 0
-1644 1169 743 0
1891 1989 -876 0
509 2142 1658 0
61 1769 510 0
1390 892 2204 0
-1782 1881 -1545 0
-647 1109 2172 0
2699 993 -1738 0
-844 2391 2846 0
-1486 -2069 2144 0
-632 1902 2539 0
481 825 -360 0
487 73 1390 0
-858 512 1063 0
-1359 545 -1578 0
435 614 1929 0
1120 -477 569 0
650 1861 2544 0
-1305 -1083 2258 0
-500 -2898 1424 0
178 1407 1869 0
-1432 1068 -2415 0
-303 544 -2981 0
-1431 1091 -1949 0
2479 511 -1329 0
1284 1161 2235 0
1739 -1374 -200 0
134 -262 1062 0
2463 986 757 0
-2502 1515 2909 0
766 1843 1132 0
1979 747 474 0
1250 2964 1609 0
601 2313 1967 0
2146 -2467 1783 0
-1144 1003 -331 0
2633 1024 -1160 0
2332 112 1508 0
551 2183 -1689 0
-2367 1481 -325 0
2092 -2200 -198 0
714 2453 1443 0
-1342 1301 2602 0
581 1325 2035 0
827 -685 2266 0
326 1449 -443 0
906 82 2964 0
-1842 1885 738 0
2989 568 315 0
652 994 -2428 0
1174 -1334 -2210 0
1699 77 398 0
819 2464 280 0
2857 -384 2940 0
128 -112 2670 0
990 2571 -1347 0
380 -2623 -608 0
1866 -879 -29 0
1970 303 134 0
-214 1793 -2738 0
1392 2818 1763 0
1729 2651 1565 0
-1388 245 307 0
1084 1134 2362 0
131 1790 1374 0
366 2500 2255 0
818 1600 -584 0
2700 -1574 -770 0
1814 -1509 -2526 0
-171 168 -1032 0
66 -2843 694 0
951 -2317 -2365 0
-1399 -2829 770 0
1299 -1708 699 0
-86 -347 1572 0
-524 -1280 2593 0
448 2378 2612 0
2883 -473 -2675 0
953 1350 2170 0
2569 2884 961 0
-2053 866 2706 0
2880 669 1054 0
-536 2715 -2325 0
556 1701 -457 0
-696 2882 1490 0
-677 282 2612 0
-2983 779 160 0
2505 920 -2655 0
2001 -2499 1200 0
2333 1316 -642 0
2466 780 -1161 0
2703 18 1377 0
565 -2406 2581 0
2509 -1771 -938 0
1805 1444 871 0
2242 2672 -2476 0
1161 -558 2810 0
2518 1077 302 0
-2689 -1995 369 0
2897 -12 -2424 0
542 2860 527 0
-53 2014 78 0
2659 2777 1324 0
-2823 -1914 2518 0
2485 1705 352 0
2787 -1088 -1667 0
-2241 2411 2775 0
-2604 1210 -2146 0
2360 389 2908 0
-2972 2370 -2023 0
2534 1340 1824 0
2006 2189 1378 0
1378 -214 2764 0
-2022 -556 1328 0
991 2270 -1453 0
1905 -1810 -2595 0
885 589 413 0
825 1465 942 0
185 -292 -2853 0
-2312 322 -2608 0
243 1599 104 0
729 -1632 -2804 0
1758 483 1531 0
-13 -2228 921 0
-2389 1657 1014 0
53 730 731 0
1467 1684 -891 0
-460 466 2138 0
929 2717 1581 0
-742 372 2625 0
2135 -525 -976 0
2467 1999 2892 0
780 1693 1588 0
378 1137 -1835 0
207 -452 1884 0
1725 772 -1496 0
2089 -2271 -2476 0
767 -2239 1003 0
298 2902 2178 0
2878 123 -589 0
-2007 2556 -1493 0
-1940 767 1329 0
2189 198 649 0
-1276 2875 -744 0
1079 1598 2078 0
776 830 918 0
1474 -311 371 0
1982 606 205 0
486 1780 2572 0
1875 -1818 -2499 0
-2010 -327 206 0
1034 1655 1283 0
811 -2394 777 0
-732 1380 -58 0
2009 -990 -2344 0
-1768 2583 -895 0
-1759 597 2176 0
2225 51 2596 0
1383 -2697 -232 0
2289 246 2654 0
-2383 2906 1215 0
1138 2212 1810 0
-2071 1810 2845 0
1847 -420 886 0
-1030 -754 1236 0
798 453 -95 0
511 1421 1067 0
-2793 1917 -135 0
-2788 1779 124 0
-396 2773 -2922 0
-1392 -1369 500 0
2925 2042 -2075 0
-620 -1436 2869 0
-1938 522 -1305 0
356 -324 2245 0
-1958 2023 1844 0
952 -1920 2069 0
2056 -2271 -2682 0
1918 -1462 -2722 0
402 -734 2342 0
-2950 2313 2825 0
-502 1348 -2691 0
-2756 2064 566 0
-918 2006 -2227 0
1634 -1206 -754 0
-315 2166 144 0
1001 -2373 1551 0
-2849 2571 726 0
2799 2806 811 0
1364 2198 1218 0
760 -2984 870 0
2134 1744 2632 0
1339 -2877 -2323 0
-884 171 -1843 0
2548 2627 815 0
1196 1056 1985 0
-2030 1617 -2126 0
2241 790 1291 0
101 107 185 0
2798 -369 964 0
-473 442 -807 0
-1204 418 -375 0
-2609 -976 2089 0
-805 1317 501 0
-2277 2985 123 0
-2806 492 710 0
-1766 1658 -2712 0
665 2422 2417 0
-1120 1423 736 0
158 1139 2952 0
-2451 -2054 2377 0
2840 605 -1652 0
1080 257 453 0
2896 -2131 -122 0
-1034 97 679 0
1956 -31 305 0
-1784 -1105 2629 0
2155 -1699 -1645 0
-574 -2083 683 0
2506 2138 2500 0
-334 1901 -241 0
-2241 1621 372 0
-443 627 -2640 0
71 -1706 339 0
339 179 758 0
-2996 440 -871 0
200 1963 -316 0
2647 1496 8 0
2101 -2312 432 0
1355 782 744 0
2077 1275 579 0
763 2692 1043 0
228 1669 -674 0
943 -2127 -923 0
-2242 468 2253 0
-958 2063 -1921 0
2594 202 -476 0
2897 1719 2502 0
2222 862 2017 0
673 1789 2158 0
-1622 1244 774 0
-1278 1642 2722 0
1800 1868 -163 0
1574 -1167 -2458 0
2433 -290 2521 0
1698 -2630 -1567 0
2585 1329 1771 0
862 890 -1768 0
290 2277 56 0
1655 -1157 -463 0
126 -989 2396 0
1794 344 2060 0
2543 2182 59 0
71 -1417 -277 0
-499 2049 989 0
1261 -2747 -2677 0
1407 2424 2464 0
1329 1778 274 0
1785 -1175 -456 0
-1296 1089 -1969 0
-812 474 2010 0
619 -1866 -1433 0
534 1815 -993 0
-772 1071 1287 0
543 -1160 -1466 0
795 2235 1604 0
-2276 -2096 2253 0
1166 724 388 0
-1162 422 791 0
298 1353 1930 0
2976 975 -1055 0
2288 1272 2600 0
1028 1697 1315 0
1987 2690 220 0
-2377 450 -307 0
2251 2440 245 0
1894 45 2784 0
508 -2096 2266 0
2516 1592 2618 0
-1289 266 -1036 0
2471 2199 -266 0
-1834 -2093 2681 0
1049 1523 493 0
2037 793 1805 0
-1501 -1843 43 0
389 1001 -88 0
-1080 1570 -2812 0
876 -615 783 0
-2863 -150 2796 0
-1050 52 2701 0
1579 -2893 -1015 0
185 1208 1076 0
-88 -696 983 0
-688 -950 1692 0
2785 1990 960 0
2083 -627 -1457 0
599 -1521 -440 0
1531 -1043 1911 0
2090 866 2344 0
-2188 -2554 2678 0
798 -1636 -2987 0
239 251 2505 0
-2950 -2154 1809 0
2423 1961 2538 0
-2201 -1606 480 0
484 -2800 1656 0
1405 918 890 0
-1701 -1859 1255 0
504 -2118 -744 0
1386 1725 148 0
2362 -2236 -1335 0
1480 868 -2585 0
1343 506 1600 0
1790 -90 -1941 0
77 1502 544 0
909 -1273 740 0
149 2145 2565 0
-2463 -30 2878 0
2775 -1381 1701 0
-2122 -2942 36 0
2400 1890 2608 0
-1429 2391 1774 0
-305 2094 772 0
461 -2990 -179 0
1582 375 1060 0
-2816 -108 1884 0
763 -49 -690 0
2945 1891 1205 0
-9 832 1385 0
47 1617 1759 0
2058 -2476 -2278 0
2751 1389 2822 0
-1876 1893 -1612 0
1231 2147 1682 0
2469 -2746 1710 0
307 -2495 2101 0
2444 -907 -86 0
1154 259 -742 0
157 -2509 -331 0
2387 611 1537 0
-1246 -1248 669 0
1400 416 -1748 0
721 1845 -1407 0
-2938 170 -2078 0
-453 949 -82 0
1948 299 -1224 0
675 1184 898 0
621 1141 -2179 0
2733 8 2896 0
2024 1664 -1237 0
884 72 1202 0
271 -2686 696 0
-797 1243 1413 0
-2544 -2929 2353 0
1003 -340 -2981 0
195 1667 2180 0
2293 681 2206 0
-611 1397 1768 0
2467 592 432 0
-2101 -1695 1838 0
-1709 -1345 1439 0
-165 -2127 596 0
347 2641 113 0
-777 1646 507 0
2496 173 724 0
2454 -324 -1547 0
-1312 -248 795 0
1378 -2854 2852 0
2398 2176 2984 0
-180 999 2362 0
719 1685 712 0
1835 961 -254 0
-492 -2913 1556 0
2339 1226 2001 0
-1571 -2852 1833 0
-1773 2545 2306 0
535 -2873 -2962 0
2970 -1335 306 0
-2115 412 -2016 0
-624 -2190 509 0
876 -1783 -2752 0
1327 -2960 -2280 0
1110 -520 1682 0
730 -347 375 0
908 1161 583 0
732 -834 316 0
393 491 2456 0
2053 2795 -217 0
987 2543 2797 0
267 2464 2900 0
377 2523 1190 0
-180 1825 2134 0
1251 -1243 -1157 0
1035 -345 -1230 0
2673 -1224 1218 0
-2747 -498 711 0
-630 2089 1830 0
689 2747 2315 0
1420 -1500 -2243 0
568 2384 -1449 0
-1429 1657 1333 0
1948 66 1712 0
379 2607 1579 0
1156 1733 -1761 0
-2063 2772 -2306 0
-1848 -437 1474 0
265 1263 -1443 0
2711 987 1695 0
2247 1962 1761 0
2982 2313 961 0
-2677 1351 1915 0
550 -291 -2167 0
-1490 -1472 497 0
2795 2364 1959 0
994 642 125 0
-890 -344 1991 0
2958 2854 273 0
2117 178 797 0
-2535 2269 -369 0
-2695 491 111 0
1009 677 1451 0
2670 1619 2610 0
-811 2401 -2171 0
392 1353 -234 0
-2200 -870 90 0
754 -792 -1807 0
-2998 1927 -2226 0
-1688 991 1396 0
744 1472 -2008 0
2019 615 1062 0
225 328 1949 0
2691 1397 -1320 0
-2680 -1350 2163 0
-2248 2101 1499 0
-2638 90 -2218 0
1161 1309 1567 0
2330 431 -840 0
155 2719 1974 0
-2377 2934 1530 0
2930 575 -1644 0
2655 625 1130 0
2644 -1811 2158 0
1508 2402 2998 0
1865 -2458 189 0
-2794 2667 -1145 0
-1115 742 1476 0
-2940 -1368 452 0
1022 2150 -2878 0
-1185 2599 -2256 0
1739 -2828 1764 0
416 1975 2193 0
2133 56 1370 0
-973 182 1545 0
-1696 -1756 1204 0
2424 1119 1776 0
2799 2834 542 0
2146 1731 2246 0
2661 2748 1623 0
-2840 2685 1124 0
2175 -1688 -1336 0
1614 -377 -470 0
1260 702 993 0
2369 687 81 0
993 -1392 -2106 0
-1476 -2474 2238 0
1951 2851 2547 0
1910 2203 911 0
634 1203 1115 0
2055 2865 1163 0
-2981 220 -189 0
-2378 2463 -1212 0
-2456 1049 2234 0
-2077 2506 2776 0
741 299 1362 0
1176 1513 767 0
-874 -1404 845 0
-174 1940 -1599 0
1234 1136 1570 0
-581 874 2466 0
-2096 -2284 1356 0
-1054 1492 -2059 0
1638 1344 2774 0
2342 2714 4 0
-860 444 -533 0
1991 -1407 -2598 0
448 1121 2728 0
1814 2050 -1469 0
1031 329 448 0
938 -1729 -1374 0
9 -2458 -1993 0
1373 857 1652 0
1544 771 1567 0
2282 623 -2468 0
-586 -2739 351 0
327 1397 1374 0
891 -1239 -603 0
2380 2495 1556 0
2316 2528 2137 0
-1880 2256 2132 0
2744 1876 -755 0
-1077 722 -2697 0
1284 -752 -1 0
2086 1392 2933 0
2292 844 1863 0
-2542 2968 -1314 0
2758 1072 581 0
201 -739 665 0
1048 1873 2715 0
777 -1425 -1099 0
-1548 774 1748 0
-290 -1793 1398 0
970 2789 1446 0
765 117 34 0
-2407 793 124 0
972 2602 -2776 0
-1428 -765 2449 0
-1124 -911 429 0
2922 289 2610 0
1251 1661 1142 0
348 523 2272 0
1214 985 762 0
-2892 -880 2145 0
1175 2441 1042 0
2370 1954 456 0
2663 -1099 -637 0
-815 -595 1663 0
795 -178 -772 0
30 606 1135 0
540 677 1537 0
-2527 -2165 2321 0
1953 -525 1233 0
794 -2105 1180 0
-2205 -1777 2367 0
-260 1232 -1394 0
2444 2556 909 0
-916 295 1394 0
-1316 674 934 0
70 1338 2184 0
857 1873 -2577 0
-2945 2555 2253 0
1282 1994 1349 0
777 -2750 1280 0
2629 1818 436 0
2399 1634 2097 0
1569 -1433 1599 0
-2964 2338 1217 0
1042 460 -2984 0
-722 1986 -54 0
2010 -2710 287 0
1345 -61 -2883 0
1607 2778 1073 0
-2636 -99 347 0
2429 2642 1024 0
-2743 1519 -2087 0
2528 1278 2803 0
-401 1161 1933 0
-2110 807 2755 0
-2508 83 -1190 0
-1993 1752 388 0
2118 1382 2404 0
-1065 2210 -1172 0
1999 -2680 -1664 0
-2782 305 -1554 0
-2208 612 -2127 0
1467 -838 -2551 0
2539 -2954 -2719 0
-1361 2698 1524 0
715 1928 -1330 0
1148 1196 -2545 0
-1192 -2011 2925 0
459 -2373 2039 0
1987 2091 2581 0
-132 2624 1917 0
36 699 2254 0
-1225 2396 176 0
-2147 2958 -419 0
-2986 2721 -619 0
261 2864 -2624 0
-2660 2703 2212 0
95 -1093 -2909 0
-1400 58 2851 0
2111 -2230 1243 0
1188 2594 1032 0
331 1660 2353 0
2535 1063 2940 0
1888 262 2791 0
-402 833 1587 0
1332 883 911 0
1690 2975 2857 0
-2859 -1888 2598 0
-1870 891 -682 0
722 1561 -2842 0
1821 2602 -1661 0
2403 1253 447 0
271 -731 1220 0
2392 1889 840 0
2179 2121 -1402 0
1718 -1373 -2610 0
-2279 1273 318 0
1392 363 719 0
2183 2120 1180 0
-37 581 -275 0
2673 -1499 -2014 0
1904 815 973 0
42 1345 1501 0
2072 2674 957 0
671 2634 -2279 0
-1775 -2424 1325 0
1654 1503 -2430 0
414 416 2838 0
436 -1873 2314 0
-775 1759 2681 0
1970 1990 1412 0
-2551 2773 1971 0
1286 35 1311 0
-2648 1574 848 0
-2381 2400 67 0
678 870 2069 0
2935 2154 343 0
2694 1949 1092 0
-1784 945 -1888 0
305 2142 -2585 0
1917 141 -597 0
2252 -1875 -1093 0
316 1973 1122 0
624 1852 203 0
2609 -1356 144 0
400 -915 -2520 0
-1197 1614 1371 0
24 2635 -1311 0
-2118 1332 608 0
607 -1094 -106 0
1284 -1859 -2465 0
1431 1509 1038 0
2556 2790 1205 0
-2354 -1444 2403 0
-468 -340 2244 0
2993 -2361 184 0
-1768 442 -1017 0
1100 2585 1784 0
-2246 2173 -1263 0
583 -2765 -1919 0
-1551 1094 2128 0
2365 299 2810 0
2672 186 2103 0
2469 1931 1057 0
223 2536 -204 0
2841 2664 40 0
-2742 2572 -522 0
1769 2717 -2735 0
399 2448 134 0
1243 1246 654 0
-1696 1545 -1458 0
726 -2736 -2099 0
1389 -2296 119 0
2527 -1179 957 0
59 80 -1693 0
-1538 2775 -13 0
-820 -2088 790 0
1722 -158 -2503 0
-576 830 -2540 0
-2806 1846 2343 0
2363 -554 -670 0
-1747 2679 -2924 0
330 -1055 885 0
-2867 87 468 0
-2086 2106 1424 0
1451 -2086 1670 0
-2864 -879 1837 0
2335 326 403 0
244 2313 1838 0
327 2950 2665 0
1912 970 664 0
-360 1830 -2482 0
-957 2149 -1105 0
-234 549 -1956 0
-1370 -2876 2164 0
1074 -2926 -1728 0
12 2559 1679 0
535 1415 2315 0
1160 1090 -606 0
-294 2267 -1024 0
-1763 1570 20 0
187 -1267 -2018 0
1682 -1411 1707 0
1967 117 -708 0
-2923 -2344 569 0
788 880 2757 0
-944 1401 -2697 0
598 2061 771 0
1046 2987 2253 0
365 2462 1849 0
2935 -2449 -2919 0
329 -2527 195 0
-746 494 724 0
2906 2950 -6 0
2323 -2368 -435 0
2713 105 279 0
2945 700 1723 0
1226 2770 36 0
820 1662 532 0
483 527 458 0
2552 -2585 2719 0
1443 -1849 92 0
-1932 2389 -1712 0
1267 157 2385 0
-108 -427 980 0
-2482 1928 -474 0
-2513 791 -163 0
-1146 1905 77 0
2592 -1428 -2714 0
1020 2625 -1613 0
-2092 1574 -1499 0
2529 2498 1415 0
1574 -1213 -1492 0
27 -349 2251 0
-1412 23 -42 0
2572 -331 340 0
-21 -1874 2223 0
2543 1519 1246 0
-2053 1371 -1613 0
-1135 -1041 2775 0
-2453 2528 1291 0
-1110 1546 507 0
-1470 -1469 19 0
371 -2555 1929 0
1732 1700 -2860 0
2159 -1816 -1575 0
602 -2377 2540 0
2229 1775 974 0
2692 -1219 531 0
2156 264 918 0
47 1827 -1922 0
1181 -1487 -2779 0
2060 2385 2643 0
-1113 678 -2750 0
-2819 2642 2268 0
25 1812 1645 0
-1882 23 -981 0
-412 -2658 658 0
-490 -176 703 0
392 -2300 2773 0
670 1616 1693 0
1348 -1044 820 0
-1601 1655 -1381 0
1739 -2090 -324 0
-2047 866 2447 0
695 -797 2726 0
-2103 -1173 2580 0
567 583 1358 0
-2148 475 -2768 0
55 -1679 -2102 0
801 2692 615 0
-866 223 -650 0
-1547 647 149 0
2639 1973 -631 0
238 737 -348 0
705 750 1269 0
2233 1014 2025 0
-2733 610 124 0
2869 -2583 -1177 0
-578 2538 -1582 0
-2001 1059 1735 0
605 2765 701 0
1854 -1585 -1254 0
1837 2943 -1844 0
2905 2564 2632 0
-1309 1257 491 0
861 -840 -1364 0
948 616 535 0
1970 2268 -2481 0
2212 -2021 -1982 0
915 2200 2904 0
-2554 234 -2491 0
671 -1047 -819 0
2772 145 -148 0
426 1185 1812 0
2346 1328 186 0
2619 -172 -1693 0
1193 -2923 1734 0
2038 -2528 -1164 0
-2991 2446 -2 0
2176 2345 101 0
2656 -2030 276 0
-302 1833 -1151 0
2313 1279 110 0
266 2392 1849 0
-604 2035 -186 0
2765 913 2206 0
1597 2886 -934 0
-1445 1928 -1937 0
2813 979 1931 0
1327 -257 1843 0
2544 -392 1547 0
-2108 653 -1930 0
2409 -1615 -1721 0
1343 1481 -515 0
1813 2049 438 0
1667 849 1433 0
2208 1623 595 0
2909 2305 -1867 0
2228 792 -2833 0
1157 -875 1007 0
1956 1428 2535 0
-721 -1046 2098 0
1229 -2851 967 0
2217 -1443 -2347 0
-155 253 -973 0
